question,class
คอนโดตั้งอยู่ที่ไหน,สถานที่ตั้ง
คอนโดตั้งใกล้กับที่ไหน,สถานที่ตั้ง
อยู่แถวไหน,สถานที่ตั้ง
มีสถานที่ไหนอยู่ใกล้ๆบ้าง,สถานที่ตั้ง
อยู่ใกล้บีทีเอสสถานนีไหน,สถานที่ตั้ง
ต้องลงบีทีเอสสถานีไหน,สถานที่ตั้ง
ไปอย่างไร,สถานที่ตั้ง
ไปได้ยังไง,สถานที่ตั้ง
ต้องบอกแท็กซี่ว่าอะไรถึงจะไปได้,สถานที่ตั้ง
ต้องปักหมุดที่ไหน,สถานที่ตั้ง
ขอที่อยู่หน่อย,สถานที่ตั้ง
ขอที่อยู่คอนโดหน่อย,สถานที่ตั้ง
คอนโดนี้อยู่ไหนอะ,สถานที่ตั้ง
อยากไปต้องไปที่ไหน,สถานที่ตั้ง
ที่นี่คือที่ไหน,สถานที่ตั้ง
โลเคชันของที่พักอยู่ที่ไหน,สถานที่ตั้ง
ขอโลเคชันหน่อย,สถานที่ตั้ง
ขอตำแหน่งที่ตั้งหน่อย,สถานที่ตั้ง
ตั้งอยู่แถวไหน,สถานที่ตั้ง
อยู่ใกล้ๆกับที่ไหนไหม,สถานที่ตั้ง
อยู่ใกล้สถานที่ไหน,สถานที่ตั้ง
อยู่ใกล้สถานนีไหน,สถานที่ตั้ง
คอนโดของคุณอยู่ที่ไหน?,สถานที่ตั้ง
คอนโดนี้โลเคชันอะไร,สถานที่ตั้ง
อยากไปจัง ต้องไปอย่างไร,สถานที่ตั้ง
คอนโดอยู่ใกล้สนามบินไหม,สถานที่ตั้ง
มีสนามบินอยู่ใกล้คอนโดไหม,สถานที่ตั้ง
ลงจากเครื่องแล้วไปอย่างไรต่อ,สถานที่ตั้ง
น่าอยู่มาก ไปไงอะ,สถานที่ตั้ง
อยากไป,สถานที่ตั้ง
เข้าไปคอนโดได้อย่างไร,สถานที่ตั้ง
ไปได้ด้วยวิธีไหนได้บ้างคับ,สถานที่ตั้ง
คอนโดนี่อยู่ใกล้รถไฟฟ้าสายไหนบ้าง,สถานที่ตั้ง
รถไฟฟ้าสายไหนใกล้คอนโดที่สุด,สถานที่ตั้ง
สถานที่สำคัญรอบๆมีอะไรบ้าง,สถานที่ตั้ง
คอนโดอยู่ใกล้ห้างอะไรบ้าง,สถานที่ตั้ง
เดินทางไปรถไฟฟ้ายากไหม,สถานที่ตั้ง
เดินทางไปห้างสรรพสินค้าได้อย่างไร,สถานที่ตั้ง
เดินไปทางสะดวกไหม,สถานที่ตั้ง
